City_ID,City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,keetmanshoop,-26.5833,18.1333,290.7,20,0,5.04,NA,1695845294
281,magadan,59.5667,150.8,272.89,89,65,1.39,RU,1695845133
282,ihosy,-22.4,46.1167,289.52,82,31,4.52,MG,1695845295
283,vorkuta,67.5,64.0,273.55,85,100,1.66,RU,1695845167
284,kasempa,-13.4584,25.8338,297.82,39,98,1.4,ZM,1695845295
285,mersa matruh,31.3525,27.2453,299.09,76,0,2.58,EG,1695845295
286,kuloy,61.0305,42.4925,283.18,90,100,2.24,RU,1695845296
287,guilin,25.2819,110.2864,296.91,88,16,1.49,CN,1695845296
288,irece,-11.3042,-41.8558,307.59,21,20,4.71,BR,1695845165
289,novi petrivtsi,50.6224,30.4451,289.36,46,2,2.72,UA,1695845296
290,lorengau,-2.0226,147.2712,299.78,85,100,3.79,PG,1695845086
291,woolgoolga,-30.1106,153.2007,292.08,83,89,4.29,AU,1695845297
292,itamaraca,-7.7478,-34.8256,300.18,70,100,4.23,BR,1695845215
293,nuku'alofa,-21.1333,-175.2,298.34,78,40,5.14,TO,1695845297
294,timimoun,29.2639,0.231,304.14,15,0,9.54,DZ,1695845205
295,alto araguaia,-17.3147,-53.2153,308.29,23,71,5.05,BR,1695845298
296,chinde,26.8418,88.0763,291.23,84,2,2.08,NP,1695845298
297,korla,41.7597,86.1469,290.37,39,5,3.56,CN,1695845299
298,goondiwindi,-28.55,150.3167,291.58,27,89,4.44,AU,1695845299
299,tucuma,-0.1833,-50.05,303.53,61,78,4.9,BR,1695845142
300,taksimo,56.3444,114.8794,281.59,69,100,1.69,RU,1695845299
301,juruti,-2.1522,-56.0922,311.63,28,17,2.92,BR,1695845299
302,nemuro,43.3236,145.575,289.74,85,100,4.18,JP,1695845157
303,lihue,21.9789,-159.3672,300.73,81,94,6.8,US,1695845136
304,oranjemund,-28.55,16.4333,291.61,47,0,5.66,NA,1695845300
305,moab,38.5733,-109.5498,305.09,15,0,2.93,US,1695845075
306,salym,60.0625,71.4789,280.68,85,100,2.85,RU,1695845300
307,ghat,24.9647,10.1728,304.88,18,86,1.63,LY,1695845301
308,vilyuysk,63.7553,121.6247,277.34,74,81,2.67,RU,1695845153
309,butembo,0.15,29.2833,288.23,98,100,0.8,CD,1695845301
310,kingscliff,-28.2667,153.5667,290.24,94,100,0.0,AU,1695845301
311,ust-nera,64.5667,143.2,276.51,96,100,3.54,RU,1695845179
312,shwebo,22.5667,95.7,299.61,88,61,1.87,MM,1695845302
313,es castell,39.8795,4.2854,295.53,73,0,1.54,ES,1695845302
314,hilo,19.7297,-155.09,300.16,69,40,1.79,US,1695845303
315,dobrich,43.5667,27.8333,293.2,63,57,5.33,BG,1695845303
316,waingapu,-9.6567,120.2641,296.91,84,8,2.39,ID,1695845138
317,nadi,-17.8,177.4167,299.15,78,20,3.09,FJ,1695845303
318,masterton,-40.9597,175.6575,282.53,96,100,0.6,NZ,1695845303
319,yermakovskoye,53.2831,92.4003,275.39,86,5,1.1,RU,1695845177
320,bodinayakkanur,10.0167,77.35,296.47,84,100,2.81,IN,1695845304
321,fort bragg,35.139,-79.006,293.9,72,100,5.66,US,1695845103
322,geraldton,-28.7667,114.6,294.38,73,90,3.6,AU,1695845139
323,kas,36.2018,29.6377,298.57,59,82,1.96,TR,1695845305
324,karasburg,-28.0167,18.75,288.9,26,0,4.62,NA,1695845305
325,coahuayana de hidalgo,18.7,-103.6583,305.9,61,36,3.19,MX,1695845216
326,vejle,55.7093,9.5357,290.55,89,93,3.17,DK,1695845305
327,dingwall,57.5953,-4.4272,286.97,87,100,5.17,GB,1695845305
328,luban,51.1201,15.2877,291.67,60,66,2.64,PL,1695845306
329,chemax,20.65,-87.9333,307.15,48,90,1.18,MX,1695845306
330,carnarvon,-24.8667,113.6333,293.24,87,57,6.02,AU,1695845121
331,pacocha,-17.5833,-71.3333,292.23,73,100,3.09,PE,1695845307
332,ulladulla,-35.35,150.4667,288.02,89,100,1.09,AU,1695845076
333,tashtyp,52.7939,89.8983,274.68,88,0,0.96,RU,1695845307
334,palu,-0.8917,119.8707,297.15,93,88,1.69,ID,1695845307
335,conselheiro pena,-19.1722,-41.4722,311.81,25,61,1.09,BR,1695845308
336,scarborough,54.2797,-0.4044,290.91,88,96,1.79,GB,1695845308
337,banda aceh,5.5577,95.3222,299.27,85,100,5.78,ID,1695845308
338,sotouboua,8.5667,0.9833,298.16,89,13,1.27,TG,1695845308
339,rongelap,11.1635,166.8941,300.07,80,100,1.5,MH,1695845309
340,zarghun shahr,32.8473,68.4457,284.54,16,0,2.53,AF,1695845309
341,puerto deseado,-47.7503,-65.8938,285.29,50,100,2.96,AR,1695845309
342,key west,24.5557,-81.7826,304.15,77,75,2.57,US,1695845086
343,taroa,8.7058,171.2275,301.21,79,70,4.38,MH,1695845310
344,el granada,37.5027,-122.4694,300.71,63,0,7.2,US,1695845310
345,kailua-kona,19.6406,-155.9956,302.19,73,20,4.12,US,1695845310
346,aljezur,37.3191,-8.8033,292.32,80,15,3.38,PT,1695845311
347,xinji,37.9028,115.2036,289.64,88,0,0.94,CN,1695845311
348,noyabrsk,63.1994,75.4507,279.4,77,100,4.02,RU,1695845203
349,regina,50.4501,-104.6178,295.21,43,75,2.06,CA,1695845108
350,vila franca do campo,37.7167,-25.4333,296.38,90,55,6.59,PT,1695845177
351,chissamba,-12.1667,17.3333,295.3,49,51,1.82,AO,1695845312
352,gadzhiyevo,69.2551,33.3362,281.59,94,100,3.04,RU,1695845196
353,sungai penuh,-2.0833,101.3833,290.17,91,16,1.27,ID,1695845244
354,kamogawa,35.1,140.1,297.11,93,16,1.66,JP,1695845312
355,port augusta,-32.5,137.7667,282.4,72,0,2.47,AU,1695845313
356,tsiombe,-25.3,45.4833,294.04,84,63,1.87,MG,1695845313
357,yemva,62.59,50.8594,282.81,93,48,3.34,RU,1695845313
358,mount pearl,47.5166,-52.7813,283.62,77,100,6.69,CA,1695845314
359,mahanoro,-19.9,48.8,293.52,86,42,1.6,MG,1695845133
360,alaghsas,17.0187,8.0168,308.55,7,5,6.0,NE,1695845314
361,celendin,-6.8703,-78.1517,293.44,47,79,4.03,PE,1695845314
362,emmett,43.8735,-116.4993,294.8,39,100,5.12,US,1695845315
363,salekhard,66.53,66.6019,275.98,95,100,3.68,RU,1695845315
